a cote de    ya panga a
flatterie    ipele
flatterie    dede
flatteur    ngaipele
fleche    lebechi
fleches    mbechi
flechir    ibondouna
flechir    denguene
fleur    koumou
folie    bouledi
fontaine    lateghala
force physique    pindza
forcer quelque chose    sa  pendza
foret lointaine    koumbi
foret vierge    pindi
forger    tsoulou
forgeron    moutsouli
fou    galedi
fou gueri    mouleledi
foudre    keki
foule    moukoungui
fourchette    moutsoumou
fourchette    mouchebe a tsatsa
fourou    nengue
fourou    ifoudi
fourous    bifoudi
fourous    banengue
foyer    ibiki
france    fwala
frere    ndoumi
soeur    ndoumi
soeurs    bandoumi
freres    bandoumi
fuir    bata
fumer    doutou cha ivolo
fumer    niodo
fumier    leboumbou
furoncle    loussosso
fusil    ndjedi
fusils    mandjedi
gabon    poungou
gabonais    moussipoungou
gagnant    moubeghi
gagner    bagha
garcon    lebaghoula
garde    moukeli
sentinelle    moukeli
garder    kele
gaspillage    beyissa
etre gaspillé    ya boungana
gaspiller    bonga
à la gauche de    ghou kassa
la gauche    ngoula kassa
gazelle    cheti
gencive    boubita
gencives    mabita
gendarme    mougholi
generosite    boukebi
generosite    lekabou
genou    lebongo
genoux    mabongo
genre    lekaka
genre animal    lekaka la baniaka
genre humain    lekaka la bata
gibier    niama
gibier dépecé    ikakou
gibier tué    bibete
gibiers    baniama
giffler    bola leboto
glissade    mfwelili
glisser    seneghe
glue    boulimba
gobelet    kopo
godasses    badrouma
etre gonflé    bimba
gorge    moungonga
gorille    ndjiya
gourmand    ngoussou
gourmand    nga oudoukou
gouter    megha
goutte    letengui
goutte à goutte    letengui-letengui
goutte à goutte    dou-dou-dou
goutte de sang    letengui la nguina
gouttes de sang    matengui ma nguina
graine    leboutou
graine d'oseille    konga
graines    mboutou
graines de piment    bandoungou
graisse    medi
grand    bouneni
grand    leneni
grand village    bola bou bouneni
grand animal    niama
grand animal    mouneni
grand homme    moutou
grand homme    mouneni
le grand    ngwamoutou
grand-parent    kagha
grande jambe    letembile leneni
grande maison    ndzo i ineni
grandir    bogha
les grands    bangwabata
grands-parents    bakagha
gratter    ghata
gravir une montagne    bendagha a moukoudi
griffe    niada
grillé    kanga
griller    kanga
grillon    ndjene
grimaces    bissamouna
grincer    ghweke
griot    moutsoundi
grogner    chingoula
grogner    bembe
gronder    sembe
gronder    douma
gros    bouneni
grossesse    na djimi
grossir    randouna
se gonfkler    randouna
grouper    kokassa
guepe    iloubi
etre guéri    beleghe
guerir    belesse
guerir    belegha
guerisseur    moubelichi
guerisseur    nganga
consulter le guerisseur    mono nganga
guerrier    moulweni
guetter    doko
guetteur    moudoki
gueule    mounio
guide    moubiti
guider    beta
guitare    ngombi
habiller    lwata
habiller    lwatoussa
habiller quelqu'un    lwatoussa
habitant de    moussi bola
habitants de    bissi bola
habitants de    bata ba
habitude    ikou
habitudes    bikou
hache    pibi
haches    mapibi
haine    levida
haine    ibene
hair    vida
hamecon    lelobo
par hasard    mou matessele
se hater    tsopa
se hater    lenguesse
en haut    ghou youlou
à haute voix    ghou ketia youlou
helicoptere    lavion la ingamba
herbe    chimba
herbes    bimba
herbivore    moundji a bimba
herisson    icheke
heritage    moukwegni
hesiter    tchikouna
heure    letedi
quelle heure avez vous ?    we letedi kana?
heurter    koba
heurter un obstacle    koba libaka
hier    mbedangui mbedi
hocher la tete    tsokoussa moutswe
homme    moutou
homme debauche    mouta boupoupoulou
homme debauche    moutou a boupoupoulou
homme sot    moutou indjili
hommes    batou
hommes    ba baghala
les males    ba baghala
hommes d'autrefois    batou bakala
hommes de    bata ba
honorer    ghobosso
honte    tsogni
hoquet    itsokiatsoki
hotte    pondji
huile    medi
huit    pombo
huitieme    moupohbo
hypocrisie    levedi
hypocrite    nga levedi
ici    ya
ici et là    mbedi a mbedi
idée    outassa
igname    mbala
ignames    bambala
ignorer    sa  yaba ve
il    nde
il y aura    a ka ba
il y aura une pluie    a ka ba na mvoulou
il y avait    a ba
ile    iromba
ile    ndoubi
image    indjima
imiter    yeghoule
importuner quelqu'un    youngassa moutou
impot    lepa
incliner    bandoussa
s'incliner    dengoune
inconnu    ndjindza
inculper    koutoulou
index    koulemba a douka na ngou
indice    ilemba
signe    ilemba
indigestion    leyotougha
indiscipliné    ngamandzanga
indiscipline    mandzanga
indiscipline    ivoulou
infirme    kata
infirmes    bikata
initier    gnengoussa
injure    itoughi
injurier quelqu'un    togha chia moutou
innocence    ni mabinga
innocent    mabinga
innocent    wa velnadjamba
inondation    tonda
inscrire    tende
faire inscrire    tendousse
installer    tsaghoussa
s'installer    tsaghala
instrument pour sculpter    paka
insulter    toghana
intelligence    bouyedi
intelligent    iyedi
intention    kendza
interdire    legha
un interdit    nguidi
interieur    outso keti
interpreter    mouyoukili
interpreter    yokala
interroger    foulou
introduire    gni ngassa
ivresse    wa kola mala
ivrogne    mouroki mala
ivrogne    mouroki malamou
jalousie    kounou
jaloux    ngakounou
jambe    letembi
jambes    matembi
jaune    ya bengue
je    me
je suis    me li
jeter    vede
jeter    boussou
jeter    tete
jeter au loin    boussou vala
jeter un sort    logho
jeteur de sorts    mouloghi
jeune fille    moukassa wa ve kwele
jeuner    mina cha koughi
jeunesse    bounguebe
enfance    bounguebe
jeux    mitamba
joue    leboka
jouer    tamba
joues    maboka
le jour se couche    bouchi bouyila
le jour se leve    bouchi boukia
toute la journee    letsoughou la bouchi
tous les jours    bouchi na bouchi
juge    bandza
juge    moukechi
jugements    mipamou
juger    paghala
juger    songoussa
juger    kesse
juges    babandza
jumeau    levassa
jumelle    levassa
jurer    laba
jusqu'à    nguiona
jusqu'à aujourd'hui    tena lolo
jusqu'au soir    tena moukolo
juste    bwedi
bien    bwedi
juste    tchitsa
la-bas    gho na
la-bas    ya na
lac    djanga
lacets    louswe
laisser    niangassa
laisser    niagha
lait de chevre    mabena ma taba
lampe    lepi
langage    ndagha
langue    liliki
large    bouneni
larmes    matsanga
laver    tsoka
se laver    yobo
lecher    vete
leger    cha lengue
lèpre    makedi
se lever    temoune
lèvres    bibodi
lezard    ichili
liane    lebamba
liane    ndanga
liane caoutchouc    ndamba
libellule    ngwanaguegni
liberer    potolo
lien    lendjita
lien    mouchinga
lien    moutchigha
lieu    itsegha
endroit    itsegha
lieu d'aisances    tsomo
lieu de repos    mbogha i bouvoma
lieu de repos    mbogha voma
lieu secret    louswebe
lieu secret    indongo
lignee    itsoukou
limace    ilondji
sans limite    itsigha
sans limite    chicha ve na mandila
limites    mandila
lion    ingoungou
lipe    tangana
lit    tengui
livre    issangangoubou
longer une rivière    ghongoulo ndzeli
longueur    boutele
loucher    miss mia vengougha
louer    vevale
flatter    vevale
louer    koumoussou
lourd    boulema
lourdeur    boulema
lourdeur d'une chose    boulexa bwa chela
lui seul    nde boutoubou
lui seul    nde mwe
elle seule    nde boutoubou
elle seule    nde mwe
lumiere    mbwagha
lumiere    bouchi
lune    ngondi
lunettes    biegni
machette    mbedi-icoto
machette    lebata
machette    iletale
machettes    kabata
machettes    mambedi-mabicoto
machettes    biletale
machin    chela
machoire    mou banga
machoires    mibanga
magnans    banguembi
etre maigre    u na ghassa
maigrir    ghassa
main    lekaka
mains    makaka
maintenant    na mandzi
mais    poutou
maison    ndzo
maisons    mandzo
maitre    mouyighichi
enseignant    mouyighichi
mal    boubi
malade    mabeda
maladie    mabeda
maladie du sommeil    mabeda ma cholo
maladif    moubeda
etre dans un etat maladif    konogho
malediction    bouloghi
malediction    ouchiboula
malediction    ndogho
maledictions    mandogho
maledictions    mabigha ma mabi
malin    bouyedi
maman    mama
la manche    ghogho
le manche    moutsoudou
le manche    mouvinia
manche de couteau    moubenda
manger    ndja
manger le matin    tsoko  cha kokolo
mangue    moumanga
mangues    mimanga
maniere    lessogha
maniere    mounongo
manifestation    moubeka
manifestation bruyante    ouroungou
manifestation bruyante    ghoutoumou
manifestations    mibeka
manioc    miondro
manioc    pita
baton de manioc    ikwanga
feuille de manioc    mayagha
manioc préparé    lebanda la pita
maniocs    bapita
manquer    vele
manquer    kitoussa
manquer    kita
maratre    pala ngwa we
marchander    pinia
marchandises    bitsada
marchandises    mabomo
marche !    tswe !
la marche    mwende
le marché    lekassa
marcher    yende
mari    mouloumi
mariage    lekwele
marier    kwele
se marier    kweloune
marigot    moudjagha
marigots    midjagha
marmite    ndzoungou
marque    pita
marques    mapita
masculin    lebaghala
masque d'animal    mvoudi
matin    na ngweli
maudire    logho
maudit    wou balogho
mauvais    boubi   i
méchanceté    boukegni
méchant    kechi
pas méchant    kechi ve
pas méchant    wa vela kechi
medaille    moussanga
medecin    mouboughi
medicament    miti
medicament    ilongo
medicaments    bilongo
mémé    kagha
grand-mère    moukassa
moi-même    me mwene
memoire    lekelesse
menace    sada
menace    lessighala
menace    levovo
menace    moudjinga
menace    kouchibala
mensonge    mala
menteur    nga mala
mentir    lele mala
menton    pengue
mepriser    kama cha moutema
mepriser    rokolo
mepriser quelqu'un    rokolo na moutou
merci    lebwe la we
mere    ngou
message    tsanga
mesure    chetse
mesurer    yebousse
metier    moudiandza
