civette	nzobu (ba)
juge	nzontsi (ba)
immondice	nzoruru
fumée	nzumbili
libellule	nzwingiri
résine	page (ba)
équarrir	pake
sortir	pale
errer	pambuge
paquet	pape (ba)
forêt vièrge	pari (ba)
fendre	pase
arracher	patule
kaolin	pémbi (ba)
menton	pènge (ba)
nudité	pèñi (ba)
seul	pinze
solitude	pinze
peser	pitse
natte	pube (ba)
patience	pugu
vent	punge (mi)
meurtrier	puni
brigand	puni
asperger	pupe
bouger	pupe
écho	puye (ba)
largeur	pwañi (ba)
ampleur	pwañi (ba)
intervalle	pwasese (ba)
nombreux	pwèle
beaucoup	pwèle
crevasse	pwiti (ba)
trou	pwiti (ba)
brûler (plaie)	rabile
mordre	rabile
arracher	rakule
lire	range
se souvenir	rangemine
coudre	rarige
trembler	règeme
frissonner	règeme
fuir	rine
rouge	riri
chercher	rombe
aimer	ronde
couper (bois mort)	riabe
clef	sabi (ba)
travailler	sale
choisir	sàle
prier	sambile
présenter	sàmbule
chasser	sanze
expulser	sanze
désirer	save
conter	sàve
