à la mode    édzam énga lorang
ou    ngheki
où    éyòng
où    vôm
oublier    avüane
oui    nale
oui    yaa
ouvrage    abag
ouvrage    kalara
ouvrage    nten
ouvrir    akulu
ouvrir    ayüè
pacser    alar alugh
pactiser    adâ nvóne
paganiser    ka abune Zame
pagayer    adukh bial
paginer    alang abagh
pagne    sana
pailleter    akom
pain    nfema
paître    abagle biyem
paix    nvogh
palabrer    akobe medzo
palettiser    ake bikena
palétuvier    ntane
pâlir    abo nvorane
pallier    akôme 
pallier    assègn
palmier    zàm
palmier raphia    zàm
palper    abôô
palper    afít
panier    mpwègn
panier    nküègn
pantalon    soro
pantalon    ôkane
panthère    ze
papa    pepa
papa    tare
papa    ta
papa    tita
papier    afep
paraître    ayéne
paraître    aküign
parasolier    asseng
parceque    akale na
parceque    amu na
parceque    a mu
pardon    bidzam
pardon    éngôngol
pareil    avalda
pareil    dzam dada
parler    parler
partager    akap
partager    ave
partir    ake
partout    vôm asse
partout    minfakh misse
passer    alor
pauvre    mbubua
payer    assôm
pays    si
pays    nlam
peau    ékôp
peigne    nvasse
peigne    opwégn
peindre    adup meyang
peinture    awala
peinture    meyang
pelle    ébakh
pencher    avir
pencher    alungbe
pendant    éyòng
pénis    nkône
penser    assimane
percer    atú
percer    atüi
permettre    ayebe
permettre    avengul
peser    avekh
petit-fils    ndègn
pétrole    karassine
peu    avitsáng
peu    mone
peu    tsítsakh
peu    ôyôm
peur    wòng
peut-être    ngheng ézing
peut-être    éyòng ézing
pied    abo
piège    ôlam
piment    ôndôndô
piment    ôndôndô
piment    dôndô’ô
pioche    ongone-gone
pipe    nso
piquet    ndoba
place    éto
place    vôm
place    afôla
plage    máng
plage    nsag máng
planche    abam
planter    abégn
plein    abôm
plein    ndzalane
plein    ne-lut
pleurer    ayí
pleurer    ayôn
plier    ànìkh
pluie    nveng
plume    assè
plusieurs    abüign
poche    nfekh
poil    nvot
point de pêche    étoghe
poison    nsú
poisson    kósse
poitrine    nkukh
poitrine    tüign
porc    ngüign
porte    mbégn
porte    évin
porter    abeghe
porteur    mbeghe
pou    gnine
poubelle    akùne
poule    kú
poule    kú
pourquoi    amu dzé
pourquoi    akale dzé
pousser    atsine
pousser    assôgle
poussière    mbuleghe
premier    ossuouémotossua
prendre    agnòng
préparer    ayám
près    bégn
présenter    alere
presque    bebégn
prêt    nkogha
prêter    akôle
prier    ayeglane, assile
prière    ayeglane
prison    nda mimbòkh
prix    táng
produire    abo
produire    awum
produire    akule
profond    édókh
promener    awulu
promettre    akagh
promettre    atsing
propre    nfubane
provision    ékùtt
puceau    ébisse
puits    agneng
pus    avín
pygmée    nkü
python    nvòm
quadriller    ave ézezang
quadrupler    ave biyóng bi nî
quand    éyòng
quand    oden?
quantité    abime
qualifier    adzo mefule
quantifier    avekh 
quantifier    alang
quatre    nii
quel    mbé
quel que    abimeézing
question    nsili
queue    ngüiem
qui    éza, nza
quitter    ake
quitter    akôrô
quoi    ndzé
rabâcher    abira dzo 
rabâcher    akob abüign
rabaisser    assile
rabattre    afer
rabibocher    awogane 
rabibocher    alarangom
raboter    awome 
raboter    assele bilé ye rabot
racines    mindzìs
raconter    akangle
raconter    akar
ramasser    awôlô
ramasser    atop
rapi de    avôl
rappeler    abaglane
raser    akeng
rat    ndàng
rat    fô
râteau    opwègn bilogh
recevoir    agnong
reconnaître    ayem
reconnaître    amem
refuser    atep
refuser    aben
regarder    adeghe
région    abángsi
région du grand lac    atokh éning
rembourser    abulane
remplacer    afolane
remplacer    assangle
remplir    adzale
remplir    adzègn
remuer    afôgô
remuer    afulane
rencontrer    atôbane
réparer a    kôm
répéter a    baglane
répondre    ayalane
se reposer    awéghane
reste    mebugha
rester    alighe
rester    atabe
rester    atobe
retourner    abulane
réunion    ékôane
réussir    akèbe
réussir    alôr
révolver    ôndôlô
rêver    ayén bilè
rêver    ayén biyeyem
riche    kúma
riche    nkúkuma
rien    keghe dzôm
rien    momo
rire    lüègn
rivière    ochign
riz    olesse
riz    oles
riz    ôlis
robe    élinga
roue    nka
rouge    évele
rougeole    ôlara
route    ndzong
ruisseau    ôtông
ruisseau    ôtôtông
ruse    fekh
sable    nsegle
sabler    aburu ye nsegle
saborder    aku sitokh
saboter    andaman
sabrer    abim ye mpwara
sac    nfekh
