ibam̂i    dignité
pèn'igóndji    faire de la ficelle
piz'igóndji    corder
piz'igóndji    cordeler
igondjo    plante
igondjo    fleur
igondjo ṉi ńango    une plante médicinale
igondjo iwya    une belle fleur
igondjo ṉi mèpe dyeno    une belle fleur
igondjo ṉinó ṉi re nkango    cette fleur a du parfum
igondjo n'anango    plante médicinale
igóndjó    mourine
igóndjó    myliobate
