dettes    matshômbi
deuil    kôndo
deuils    makôndo
deux    yolè
deuxième    u a muyolè
devant    bushu
devant    guli
devant    ghu bushu
devenir    ekalala
devenir    ekalaga
devin    efanissi
devins    bifanissi
deviner    efanassa
devoir    li na tshômbi
devoir    timu
devoirs    matimu
dévorer    eyotala
dévouer    evè gnutu na mutèma
se dévouer    evè gnutu na mutèma
diarrhée    mugnulu
diarhées    mignulu
Dieu    Ndjambi
diffamateur    mugnatili
diffamatrice    mugnatili
diffamer    egnatala
différence    efâni-vè
différer    edilassa
difficile    paga
difficilement    na paga
difforme    eku
digérer    eshôbusso
digestion    eshôbissi
disgestions    bishôbissi
digue    mukèla
digues    mikèla
dimanche    dimansh
dimanche    litchugu polu
dimanche    litchugu la Ndjambi
dimension    lüèlè
diminuer    ekèïssè
dîner    edja lüèlè la midi
dire    elèlè
dire    elèlili
direct    tèlè
directe    tèlè
directement    na tèlè
discorde    pênda
discordes    mapênda
discours    musamu mu munènè
discret    mutu u mishuèdè
discrète    mutu u mishuèdè
discrètement    na mishuèdè
discrétion    mushuèdè
discrétions    mishuèdè
disette    ndjâla
faim    ndjâla
disgrâce    ekolili
disgrâces    bikolili
disparaître    mabua
le soleil a disparu    litadi li mabua
l'oiseau a disparu    niodi a magnuko
dispérser    etsamassa
dispute    mudingu
disputes    midingu
disputer    etuba toti
disputeur    mussungi
disputeuse    mussungi
disputeurs    bassungi
dissimulateur    mutu mulènde
dissimuler    essa mulènde
dissipation    tshuakiri
dissipations   matshuakiri
être dissipé    evongala
dissiper    epassala
dissiper    epundja
dissiper    emassa
dépenser beaucoup    ebungaga
dépenser    egnugosso
dissoudre    ebolo
distinction    ekèngissi
distinctions    bikèengissi
distinguer    ekèngisse
distraction    ebangili si bu bangala diambo likima
distraire    essa ebangala diambo likima
distribuer    ekabala
distribution    ekabili
distributions    bikabili
